reward_today,future_reward,delay,key_resp.keys,k,,,,
11,30,7,l,0.246753247,,,,
27,50,21,l,0.040564374,,,,
40,55,62,l,0.006048387,,,,
49,60,89,t,0.002522357,,,,
78,80,162,t,0.000158278,0.004029098,,k value,0.00616805
15,35,13,l,0.102564103,,,,
67,75,119,l,0.001003386,,,,
49,60,89,l,0.002522357,,,,
27,50,21,l,0.040564374,,,,
15,35,13,l,0.102564103,,,,
78,80,162,t,0.000158278,0.00097843,,,
40,55,62,l,0.006048387,,,,
67,75,119,l,0.001003386,,,,
11,30,7,l,0.246753247,,,,
67,75,119,l,0.001003386,,,,
27,50,21,l,0.040564374,,,,
40,55,62,l,0.006048387,,,,
49,60,89,l,0.002522357,,,,
78,80,162,l,0.000158278,,,,
15,35,13,l,0.102564103,,,,
11,30,7,t,0.246753247,0.038632359,,,
40,55,62,l,0.006048387,,,,
11,30,7,l,0.246753247,,,,
67,75,119,l,0.001003386,,,,
27,50,21,l,0.040564374,,,,
78,80,162,t,0.000158278,0.000631849,,,
49,60,89,l,0.002522357,,,,
15,35,13,l,0.102564103,,,,
78,80,162,t,0.000158278,0.000631849,,,
49,60,89,l,0.002522357,,,,
67,75,119,l,0.001003386,,,,
40,55,62,l,0.006048387,,,,
15,35,13,l,0.102564103,,,,
27,50,21,l,0.040564374,,,,
11,30,7,l,0.246753247,,,,
11,30,7,l,0.246753247,,,,
40,55,62,l,0.006048387,,,,
78,80,162,t,0.000158278,0.000631849,,,
49,60,89,l,0.002522357,,,,
27,50,21,l,0.040564374,,,,
67,75,119,l,0.001003386,,,,
15,35,13,l,0.102564103,,,,
78,80,162,t,0.000158278,0.00253386,,,
27,50,21,l,0.040564374,,,,
40,55,62,l,0.006048387,,,,
67,75,119,l,0.001003386,,,,
15,35,13,l,0.102564103,,,,
49,60,89,l,0.002522357,,,,
11,30,7,l,0.246753247,,,,
15,35,13,l,0.102564103,,,,
11,30,7,l,0.246753247,,,,
67,75,119,l,0.001003386,,,,
40,55,62,l,0.006048387,,,,
78,80,162,l,0.000158278,,,,
27,50,21,l,0.040564374,,,,
49,60,89,l,0.002522357,,,,
27,50,21,l,0.040564374,,,,
40,55,62,l,0.006048387,,,,
49,60,89,l,0.002522357,,,,
15,35,13,l,0.102564103,,,,
78,80,162,t,0.000158278,,,,
67,75,119,t,0.001003386,0.015734957,,,
11,30,7,l,0.246753247,,,,
27,50,21,l,0.040564374,,,,
15,35,13,l,0.102564103,,,,
11,30,7,l,0.246753247,,,,
40,55,62,l,0.006048387,,,,
78,80,162,l,0.000158278,,,,
67,75,119,l,0.001003386,,,,
49,60,89,l,0.002522357,,,,
15,35,13,l,0.102564103,,,,
49,60,89,l,0.002522357,,,,
11,30,7,l,0.246753247,,,,
67,75,119,t,0.001003386,0.002463508,,,
40,55,62,l,0.006048387,,,,
27,50,21,l,0.040564374,,,,
78,80,162,t,0.000158278,0.000631849,,,
49,60,89,l,0.002522357,,,,
67,75,119,t,0.001003386,0.006379792,,,
27,50,21,l,0.040564374,,,,
11,30,7,l,0.246753247,,,,
40,55,62,l,0.006048387,,,,
78,80,162,t,0.000158278,0.004029098,,,
15,35,13,l,0.102564103,,,,
11,30,7,l,0.246753247,,,,
40,55,62,l,0.006048387,,,,
15,35,13,l,0.102564103,,,,
49,60,89,l,0.002522357,,,,
78,80,162,t,0.000158278,0.00253386,,,
27,50,21,l,0.040564374,,,,
67,75,119,t,0.001003386,0.010144527,,,
15,35,13,l,0.102564103,,,,
78,80,162,t,0.000158278,0.00253386,,,
27,50,21,l,0.040564374,,,,
49,60,89,l,0.002522357,,,,
11,30,7,l,0.246753247,,,,
40,55,62,l,0.006048387,,,,
67,75,119,t,0.001003386,,,,
